https://github.com/rocq-prover/rocq	port-sources/rocq-prover__rocq	rocq	git
https://github.com/rocq-prover/stdlib	port-sources/rocq-prover__stdlib	rocq	git
https://github.com/math-comp/math-comp	port-sources/math-comp__math-comp	rocq	git
https://github.com/math-comp/analysis	port-sources/math-comp__analysis	rocq	git
https://github.com/math-comp/odd-order	port-sources/math-comp__odd-order	rocq	git
https://github.com/rocq-community/fourcolor	port-sources/rocq-community__fourcolor	rocq	git
https://github.com/rocq-community/corn	port-sources/rocq-community__corn	rocq	git
https://github.com/UniMath/UniMath	port-sources/UniMath__UniMath	rocq	git
https://github.com/HoTT/Coq-HoTT	port-sources/HoTT__Coq-HoTT	rocq	git
https://github.com/inQWIRE/QuantumLib	port-sources/inQWIRE__QuantumLib	rocq	git
https://github.com/GeoCoq/GeoCoq	port-sources/GeoCoq__GeoCoq	rocq	git
https://github.com/AbsInt/CompCert	port-sources/AbsInt__CompCert	rocq	git
https://gitlab.mpi-sws.org/iris/iris	port-sources/iris__iris	rocq	gitlab
https://gitlab.mpi-sws.org/iris/stdpp	port-sources/iris__stdpp	rocq	gitlab
https://github.com/thery/coqprime	port-sources/thery__coqprime	rocq	git
https://github.com/jwiegley/category-theory	port-sources/jwiegley__category-theory	rocq	git
https://github.com/uwplse/verdi	port-sources/uwplse__verdi	rocq	git
https://github.com/IBM/FormalML	port-sources/IBM__FormalML	rocq	git
https://github.com/formal-land/rocq-of-rust	port-sources/formal-land__rocq-of-rust	rocq	git
https://github.com/thery/Selinger	port-sources/thery__Selinger	rocq	git
https://github.com/agda/agda-stdlib	port-sources/agda__agda-stdlib	agda	git
https://github.com/agda/cubical	port-sources/agda__cubical	agda	git
https://github.com/agda/agda-categories	port-sources/agda__agda-categories	agda	git
https://github.com/UniMath/agda-unimath	port-sources/UniMath__agda-unimath	agda	git
https://github.com/martinescardo/TypeTopology	port-sources/martinescardo__TypeTopology	agda	git
https://github.com/the1lab/1lab	port-sources/the1lab__1lab	agda	git
https://github.com/HoTT-Intro/Agda	port-sources/HoTT-Intro__Agda	agda	git
https://github.com/isabelle-prover/mirror-isabelle	port-sources/isabelle-prover__mirror-isabelle	isabelle	git
https://github.com/isabelle-prover/mirror-afp-devel	port-sources/isabelle-prover__mirror-afp-devel	isabelle	git
https://github.com/seL4/l4v	port-sources/seL4__l4v	isabelle	git
https://github.com/jrh13/hol-light	port-sources/jrh13__hol-light	hol-light	git
https://github.com/flyspeck/flyspeck	port-sources/flyspeck__flyspeck	hol-light	git
https://github.com/HOL-Theorem-Prover/HOL	port-sources/HOL-Theorem-Prover__HOL	hol4	git
https://github.com/CakeML/cakeml	port-sources/CakeML__cakeml	hol4	git
https://github.com/CakeML/candle	port-sources/CakeML__candle	hol-light	git
https://github.com/HOLMS-lib/HOLMS	port-sources/HOLMS-lib__HOLMS	hol-light	git
https://github.com/kth-step/HOL4P4	port-sources/kth-step__HOL4P4	hol4	git
https://github.com/CakeML/game-of-life	port-sources/CakeML__game-of-life	hol4	git
https://mizar.uwb.edu.pl/version/current/mml/	port-sources/Mizar__MML-current	mizar	web-dir
https://github.com/metamath/set.mm	port-sources/metamath__set.mm	metamath	git
https://github.com/digama0/mm0	port-sources/digama0__mm0	metamath	git
https://github.com/acl2/acl2	port-sources/acl2__acl2	acl2	git
https://github.com/nasa/pvslib	port-sources/nasa__pvslib	pvs	git
https://github.com/SRI-CSL/PVS	port-sources/SRI-CSL__PVS	pvs	git
https://github.com/standardml/twelf	port-sources/standardml__twelf	twelf	git
